Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
ARECACEAE,Serenoa,repens ,Bartr./Small,Saw Palmetto,,"Lexington, KY  Food Coop.",,1990,M. Scarry,,
ARECACEAE,Trachycarpus,fortunei,Hook/Wend.,,,"Arboretum Trsteno, Croatia",,2001,G.J. Fritz,,
ARECACEAE,Washingtonia,filifera,Lindl. ex Andre/H. Wendl,,,"Arboretum Trsteno, Croatia",,2001,G.J. Fritz,,
ARISTOLOCHIACEAE,Aristolochia,debilis,,,,"Market in Kunming, Yunnan",,8/6/11,R. Spengler,,
ARISTOLOCHIACEAE,Aristolochia,tomentosa ,Sims.,Pipe vine,,"Butler Co., KY",,1977,G.E. Wagner,,
ARISTOLOCHIACEAE,Aristolochia,wrightii ,Seem.,,,"Chihuahua, Mexico.  Collected on or near Cerro  Juanaquena.  Identified by Karen Adams",,9/4/98,G.J. Fritz,,
ASCLEPIADACEAE,Asclepias,,sp.,Milkweed,,"Dallas, TX",,1988,G.J. Fritz,,
ASCLEPIADACEAE,Asclepias,incarnata ,L.,Swamp milkweed,,"Greene Co., OH",,1981,G.E. Wagner,,
ASCLEPIADACEAE,Asclepias,syriaca ,L. (W),,,"Botanic Garden of Smith College Northampton, MA ",,11/2002,G.J. Fritz,,
ASCLEPIADACEAE,Asclepias,quadrifolia ,Jacq.(H),,,"Botanic Garden of Smith College Northampton, MA ",,11/2002,G.J. Fritz,,
ASTERACEAE,achillea,millefolium ,L.,,,"Botanical Gardens of Bonn University, Germany",,9/22/08,G.J. Fritz,,
ASTERACEAE,Ambrosia,trifida,L.,Giant ragweed,,"St. Charles Co., MO",,1988,L.W. Blake,,
ASTERACEAE,Anthemis,arvensis,L.,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/05,G.J. Fritz,,
ASTERACEAE,Arctium,minus ,(Hill.) Bernh.,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
ASTERACEAE,Arnica,chamissonis ,Less.,,,"Botanical Gardens of Bonn University, Germany",,1/18/99,G.J. Fritz,,
ASTERACEAE,Arnica,nevadensis ,A.Gray,,,"Botanical Gardens at University of Leipzig, Germany",,3/2001,G.J. Fritz,,
ASTERACEAE,Artemisia,tridentata,,Big Sage,,"Plants of the Southwest.  Santa Fe, NM 87501",,1999,G. Powell,,
ASTERACEAE,Aster,divaricatus ,L. (W),,,"Botanic Garden of Smith College Northampton, MA ",,11/2002,G.J. Fritz,,
ASTERACEAE,Aster,puniceus,L. (W),,,"Botanic Garden of Smith College Northampton, MA ",,11/2002,G.J. Fritz,,
ASTERACEAE,Baileya,multiradiata,,,,"W.J. Beal Botanical Garden. MI State Univ. from AZ Pima County, Sonoran Desert",,3/6/07,G.J. Fritz,,
ASTERACEAE,Bebbia,juncea,(Benth.) Greene.,,,"Chihuahua, Mexico.  Collected on or near Cerro Juanaquena.  Identified by Karen Adams.",,9/4/98,G.J. Fritz,,
ASTERACEAE,Bidens,,,,,"China, Pixian agricultural field",,12/2010,R. Spengler,,
ASTERACEAE,Bidens,bipinnata,L.,Spanish needles,,"St. Louis, MO",,1977,H.C. Cutler,,
ASTERACEAE,Bidens,cernna ,L.,,,"Botanical Gardens at University of Leipzig, Germany",,2/3/06,G.J. Fritz,,
